date,temperature
20160601,24
20160602,15
20160603,19
20160604,27
20160605,24
20160606,23
20160607,24
20160608,21
20160609,19
20160610,20
20160611,19
20160612,22
20160613,18
20160614,18
20160615,17
20160616,20
20160617,19
20160618,17
20160619,19
20160620,16
20160621,21
20160622,25
20160623,27
20160624,21
20160625,19
20160626,18
20160627,21
20160628,21
20160629,21
20160630,19
20160701,18
20160702,18
20160703,19
20160704,22
20160705,18
20160706,19
20160707,22
20160708,21
20160709,23
20160710,25
20160711,22
20160712,22
20160713,19
20160714,19
20160715,21
20160716,22
20160717,23
20160718,25
20160719,29
20160720,33
20160721,25
20160722,26
20160723,26
20160724,24
20160725,22
20160726,24
20160727,21
20160728,22
20160729,21
20160730,22
20160731,20
20160801,21
20160802,19
20160803,21
20160804,21
20160805,21
20160806,22
20160807,23
20160808,19
20160809,18
20160810,17
20160811,17
20160812,22
20160813,20
20160814,21
20160815,21
20160816,21
20160817,22
20160818,23
20160819,24
20160820,22
20160821,20
20160822,22
20160823,27
20160824,30
20160825,31
20160826,24
20160827,25
20160828,23
20160829,20
20160830,23
20160831,24
