date,ufo,,,,
Sep-16,140,,,,
Aug-16,512,,,,
Jul-16,660,,,,
Jun-16,413,,,,
May-16,373,,,,
Apr-16,380,,,,
Mar-16,404,,,,
Feb-16,423,,,,
Jan-16,410,,,,
Dec-15,433,,,,
Nov-15,900,,,,
Oct-15,648,,,,
Sep-15,724,,,,
Aug-15,620,,,,
Jul-15,732,,,,
Jun-15,480,,,,
May-15,463,,,,
Apr-15,450,,,,
Mar-15,479,,,,
Feb-15,341,,,,
Jan-15,539,,,,
Dec-14,525,,,,
Nov-14,547,,,,
Oct-14,791,,,,
Sep-14,830,,,,
Aug-14,925,,,,
Jul-14,1100,,,,
Jun-14,780,,,,
May-14,655,,,,
Apr-14,667,,,,
Mar-14,517,,,,
Feb-14,555,,,,
Jan-14,717,,,,
Dec-13,769,,,,
Nov-13,807,,,,
Oct-13,796,,,,
Sep-13,793,,,,
Aug-13,922,,,,
Jul-13,979,,,,
Jun-13,639,,,,
May-13,537,,,,
Apr-13,430,,,,
Mar-13,400,,,,
Feb-13,284,,,,
Jan-13,399,,,,
Dec-12,674,,,,
Nov-12,782,,,,
Oct-12,677,,,,
Sep-12,775,,,,
Aug-12,906,,,,
Jul-12,937,,,,
Jun-12,764,,,,
May-12,521,,,,
Apr-12,500,,,,
Mar-12,537,,,,
Feb-12,397,,,,
Jan-12,586,,,,
Dec-11,537,,,,
Nov-11,447,,,,
Oct-11,644,,,,
Sep-11,559,,,,
Aug-11,646,,,,
Jul-11,767,,,,
Jun-11,405,,,,
May-11,321,,,,
Apr-11,318,,,,
Mar-11,334,,,,
Feb-11,276,,,,
Jan-11,330,,,,
Dec-10,307,,,,
Nov-10,366,,,,
Oct-10,477,,,,
Sep-10,453,,,,
Aug-10,532,,,,
Jul-10,849,,,,
Jun-10,388,,,,
May-10,333,,,,
Apr-10,296,,,,
Mar-10,262,,,,
Feb-10,190,,,,
Jan-10,294,,,,
Dec-09,293,,,,
Nov-09,324,,,,
Oct-09,323,,,,
Sep-09,600,,,,
Aug-09,503,,,,
Jul-09,616,,,,
Jun-09,391,,,,
May-09,360,,,,
Apr-09,318,,,,
Mar-09,341,,,,
Feb-09,397,,,,
Jan-09,499,,,,
Dec-08,350,,,,
Nov-08,459,,,,
Oct-08,536,,,,
Sep-08,385,,,,
Aug-08,506,,,,
Jul-08,577,,,,
Jun-08,484,,,,
May-08,347,,,,
Apr-08,444,,,,
Mar-08,341,,,,
Feb-08,372,,,,
Jan-08,475,,,,
Dec-07,362,,,,
Nov-07,375,,,,
Oct-07,449,,,,
Sep-07,451,,,,
Aug-07,472,,,,
Jul-07,466,,,,
Jun-07,428,,,,
May-07,317,,,,
Apr-07,323,,,,
Mar-07,363,,,,
Feb-07,267,,,,
Jan-07,441,,,,
Dec-06,387,,,,
Nov-06,413,,,,
Oct-06,402,,,,
Sep-06,327,,,,
Aug-06,429,,,,
Jul-06,430,,,,
Jun-06,341,,,,
May-06,302,,,,
Apr-06,322,,,,
Mar-06,306,,,,
Feb-06,233,,,,
Jan-06,253,,,,
Dec-05,277,,,,
Nov-05,466,,,,
Oct-05,487,,,,
Sep-05,532,,,,
Aug-05,355,,,,
Jul-05,456,,,,
Jun-05,410,,,,
May-05,302,,,,
Apr-05,317,,,,
Mar-05,358,,,,
Feb-05,278,,,,
Jan-05,260,,,,
Dec-04,306,,,,
Nov-04,331,,,,
Oct-04,453,,,,
Sep-04,412,,,,
Aug-04,551,,,,
Jul-04,438,,,,
Jun-04,431,,,,
May-04,390,,,,
Apr-04,393,,,,
Mar-04,416,,,,
Feb-04,301,,,,
Jan-04,305,,,,
Dec-03,383,,,,
Nov-03,472,,,,
Oct-03,474,,,,
Sep-03,509,,,,
Aug-03,545,,,,
Jul-03,452,,,,
Jun-03,309,,,,
May-03,252,,,,
Apr-03,225,,,,
Mar-03,191,,,,
Feb-03,267,,,,
Jan-03,327,,,,
Dec-02,250,,,,
Nov-02,294,,,,
Oct-02,338,,,,
Sep-02,376,,,,
Aug-02,488,,,,
Jul-02,434,,,,
Jun-02,348,,,,
May-02,251,,,,
Apr-02,191,,,,
Mar-02,197,,,,
Feb-02,260,,,,
Jan-02,238,,,,
Dec-01,213,,,,
Nov-01,280,,,,
Oct-01,257,,,,
Sep-01,350,,,,
Aug-01,396,,,,
Jul-01,409,,,,
Jun-01,314,,,,
May-01,255,,,,
Apr-01,234,,,,
Mar-01,291,,,,
Feb-01,233,,,,
Jan-01,282,,,,
