date,ufo
16-Sep,140
16-Aug,512
16-Jul,660
16-Jun,413
16-May,373
16-Apr,380
16-Mar,404
16-Feb,423
16-Jan,410
15-Dec,433
15-Nov,900
15-Oct,648
15-Sep,724
15-Aug,620
15-Jul,732
15-Jun,480
15-May,463
15-Apr,450
15-Mar,479
15-Feb,341
15-Jan,539
14-Dec,525
14-Nov,547
14-Oct,791
14-Sep,830
14-Aug,925
14-Jul,1100
14-Jun,780
14-May,655
14-Apr,667
14-Mar,517
14-Feb,555
14-Jan,717
13-Dec,769
13-Nov,807
13-Oct,796
13-Sep,793
13-Aug,922
13-Jul,979
13-Jun,639
13-May,537
13-Apr,430
13-Mar,400
13-Feb,284
13-Jan,399
12-Dec,674
12-Nov,782
12-Oct,677
12-Sep,775
12-Aug,906
12-Jul,937
12-Jun,764
12-May,521
12-Apr,500
12-Mar,537
12-Feb,397
12-Jan,586
11-Dec,537
11-Nov,447
11-Oct,644
11-Sep,559
11-Aug,646
11-Jul,767
11-Jun,405
11-May,321
11-Apr,318
11-Mar,334
11-Feb,276
11-Jan,330
10-Dec,307
10-Nov,366
10-Oct,477
10-Sep,453
10-Aug,532
10-Jul,849
10-Jun,388
10-May,333
10-Apr,296
10-Mar,262
10-Feb,190
10-Jan,294
9-Dec,293
9-Nov,324
9-Oct,323
9-Sep,600
9-Aug,503
9-Jul,616
9-Jun,391
9-May,360
9-Apr,318
9-Mar,341
9-Feb,397
9-Jan,499
8-Dec,350
8-Nov,459
8-Oct,536
8-Sep,385
8-Aug,506
8-Jul,577
8-Jun,484
8-May,347
8-Apr,444
8-Mar,341
8-Feb,372
8-Jan,475
7-Dec,362
7-Nov,375
7-Oct,449
7-Sep,451
7-Aug,472
7-Jul,466
7-Jun,428
7-May,317
7-Apr,323
7-Mar,363
7-Feb,267
7-Jan,441
6-Dec,387
6-Nov,413
6-Oct,402
6-Sep,327
6-Aug,429
6-Jul,430
6-Jun,341
6-May,302
6-Apr,322
6-Mar,306
6-Feb,233
6-Jan,253
5-Dec,277
5-Nov,466
5-Oct,487
5-Sep,532
5-Aug,355
5-Jul,456
5-Jun,410
5-May,302
5-Apr,317
5-Mar,358
5-Feb,278
5-Jan,260
4-Dec,306
4-Nov,331
4-Oct,453
4-Sep,412
4-Aug,551
4-Jul,438
4-Jun,431
4-May,390
4-Apr,393
4-Mar,416
4-Feb,301
4-Jan,305
3-Dec,383
3-Nov,472
3-Oct,474
3-Sep,509
3-Aug,545
3-Jul,452
3-Jun,309
3-May,252
3-Apr,225
3-Mar,191
3-Feb,267
3-Jan,327
2-Dec,250
2-Nov,294
2-Oct,338
2-Sep,376
2-Aug,488
2-Jul,434
2-Jun,348
2-May,251
2-Apr,191
2-Mar,197
2-Feb,260
2-Jan,238
1-Dec,213
1-Nov,280
1-Oct,257
1-Sep,350
1-Aug,396
1-Jul,409
1-Jun,314
1-May,255
1-Apr,234
1-Mar,291
1-Feb,233
1-Jan,282
Dec-00,233
Nov-00,232
Oct-00,329
Sep-00,298
Aug-00,298
Jul-00,365
Jun-00,277
May-00,188
Apr-00,198
Mar-00,225
Feb-00,203
Jan-00,231
Dec-99,226
Nov-99,450
Oct-99,312
Sep-99,407
Aug-99,318
Jul-99,307
Jun-99,287
May-99,190
Apr-99,165
Mar-99,162
Feb-99,175
Jan-99,145
Dec-98,193
Nov-98,213
Oct-98,226
Sep-98,249
Aug-98,176
Jul-98,185
Jun-98,213
May-98,107
Apr-98,130
Mar-98,146
Feb-98,87
Jan-98,85
Dec-97,73
Nov-97,124
Oct-97,114
Sep-97,57
Aug-97,131
Jul-97,228
Jun-97,199
May-97,107
Apr-97,95
Mar-97,198
Feb-97,48
Jan-97,56
Dec-96,85
Nov-96,87
Oct-96,55
Sep-96,73
Aug-96,85
Jul-96,79
Jun-96,153
May-96,81
Apr-96,103
Mar-96,66
Feb-96,76
Jan-96,59
Dec-95,59
Nov-95,121
Oct-95,109
Sep-95,131
Aug-95,195
Jul-95,135
Jun-95,182
May-95,105
Apr-95,92
Mar-95,124
Feb-95,116
Jan-95,96
Dec-94,39
Nov-94,25
Oct-94,65
Sep-94,36
Aug-94,63
Jul-94,58
Jun-94,87
May-94,33
Apr-94,30
Mar-94,24
Feb-94,11
Jan-94,19
Dec-93,16
Nov-93,20
Oct-93,23
Sep-93,28
Aug-93,44
Jul-93,47
Jun-93,100
May-93,31
Apr-93,15
Mar-93,20
Feb-93,16
Jan-93,17
Dec-92,15
Nov-92,18
Oct-92,36
Sep-92,22
Aug-92,32
Jul-92,35
Jun-92,67
May-92,21
Apr-92,23
Mar-92,10
Feb-92,15
Jan-92,5
Dec-91,12
Nov-91,17
Oct-91,17
Sep-91,30
Aug-91,32
Jul-91,36
Jun-91,51
May-91,25
Apr-91,16
Mar-91,15
Feb-91,9
Jan-91,11
Dec-90,17
Nov-90,21
Oct-90,27
Sep-90,21
Aug-90,36
Jul-90,50
Jun-90,58
May-90,19
Apr-90,9
Mar-90,9
Feb-90,21
Jan-90,18
Dec-89,21
Nov-89,27
Oct-89,39
Sep-89,24
Aug-89,24
Jul-89,36
Jun-89,57
May-89,23
Apr-89,11
Mar-89,11
Feb-89,8
Jan-89,15
Dec-88,8
Nov-88,18
Oct-88,38
Sep-88,18
Aug-88,54
Jul-88,35
Jun-88,59
May-88,12
Apr-88,9
Mar-88,15
Feb-88,5
Jan-88,12
Dec-87,13
Nov-87,18
Oct-87,29
Sep-87,13
Aug-87,35
Jul-87,46
Jun-87,52
May-87,18
Apr-87,19
Mar-87,10
Feb-87,4
Jan-87,13
Dec-86,9
Nov-86,11
Oct-86,26
Sep-86,19
Aug-86,28
Jul-86,25
Jun-86,55
May-86,14
Apr-86,16
Mar-86,9
Feb-86,10
Jan-86,7
Dec-85,10
Nov-85,11
Oct-85,20
Sep-85,20
Aug-85,27
Jul-85,40
Jun-85,78
May-85,17
Apr-85,10
Mar-85,6
Feb-85,4
Jan-85,10
Dec-84,7
Nov-84,12
Oct-84,20
Sep-84,18
Aug-84,29
Jul-84,26
Jun-84,55
May-84,13
Apr-84,9
Mar-84,10
Feb-84,5
Jan-84,8
Dec-83,7
Nov-83,8
Oct-83,11
Sep-83,17
Aug-83,21
Jul-83,28
Jun-83,48
May-83,16
Apr-83,22
Mar-83,7
Feb-83,4
Jan-83,3
Dec-82,9
Nov-82,9
Oct-82,22
Sep-82,20
Aug-82,24
Jul-82,35
Jun-82,66
May-82,16
Apr-82,5
Mar-82,1
Feb-82,5
Jan-82,7
Dec-81,5
Nov-81,13
Oct-81,17
Sep-81,21
Aug-81,24
Jul-81,23
Jun-81,56
May-81,12
Apr-81,12
Mar-81,5
Feb-81,4
Jan-81,13
Dec-80,18
Nov-80,6
Oct-80,28
Sep-80,24
Aug-80,29
Jul-80,42
Jun-80,78
May-80,22
Apr-80,7
Mar-80,15
Feb-80,7
Jan-80,15
Dec-79,9
Nov-79,20
Oct-79,18
Sep-79,27
Aug-79,33
Jul-79,41
Jun-79,73
May-79,17
Apr-79,18
Mar-79,15
Feb-79,11
Jan-79,11
Dec-78,15
Nov-78,22
Oct-78,28
Sep-78,23
Aug-78,61
Jul-78,83
Jun-78,86
May-78,14
Apr-78,15
Mar-78,14
Feb-78,13
Jan-78,21
Dec-77,11
Nov-77,15
Oct-77,15
Sep-77,22
Aug-77,34
Jul-77,65
Jun-77,79
May-77,25
Apr-77,12
Mar-77,16
Feb-77,6
Jan-77,13
Dec-76,9
Nov-76,18
Oct-76,23
Sep-76,33
Aug-76,31
Jul-76,68
Jun-76,103
May-76,16
Apr-76,8
Mar-76,4
Feb-76,11
Jan-76,11
Dec-75,16
Nov-75,20
Oct-75,34
Sep-75,24
Aug-75,43
Jul-75,60
Jun-75,115
May-75,13
Apr-75,16
Mar-75,12
Feb-75,5
Jan-75,17
Dec-74,8
Nov-74,23
Oct-74,32
Sep-74,28
Aug-74,42
Jul-74,48
Jun-74,78
May-74,18
Apr-74,17
Mar-74,7
Feb-74,4
Jan-74,13
