date,ufo,link
Sep-16,140,http://www.nuforc.org/webreports/ndxe201609.html
Aug-16,512,http://www.nuforc.org/webreports/ndxe201608.html
Jul-16,660,http://www.nuforc.org/webreports/ndxe201607.html
Jun-16,413,http://www.nuforc.org/webreports/ndxe201606.html
May-16,373,http://www.nuforc.org/webreports/ndxe201605.html
Apr-16,380,http://www.nuforc.org/webreports/ndxe201604.html
Mar-16,404,http://www.nuforc.org/webreports/ndxe201603.html
Feb-16,423,http://www.nuforc.org/webreports/ndxe201602.html
Jan-16,410,http://www.nuforc.org/webreports/ndxe201601.html
Dec-15,433,http://www.nuforc.org/webreports/ndxe201512.html
Nov-15,900,http://www.nuforc.org/webreports/ndxe201511.html
Oct-15,648,http://www.nuforc.org/webreports/ndxe201510.html
Sep-15,724,http://www.nuforc.org/webreports/ndxe201509.html
Aug-15,620,http://www.nuforc.org/webreports/ndxe201508.html
Jul-15,732,http://www.nuforc.org/webreports/ndxe201507.html
Jun-15,480,http://www.nuforc.org/webreports/ndxe201506.html
May-15,463,http://www.nuforc.org/webreports/ndxe201505.html
Apr-15,450,http://www.nuforc.org/webreports/ndxe201504.html
Mar-15,479,http://www.nuforc.org/webreports/ndxe201503.html
Feb-15,341,http://www.nuforc.org/webreports/ndxe201502.html
Jan-15,539,http://www.nuforc.org/webreports/ndxe201501.html
Dec-14,525,http://www.nuforc.org/webreports/ndxe201412.html
Nov-14,547,http://www.nuforc.org/webreports/ndxe201411.html
Oct-14,791,http://www.nuforc.org/webreports/ndxe201410.html
Sep-14,830,http://www.nuforc.org/webreports/ndxe201409.html
Aug-14,925,http://www.nuforc.org/webreports/ndxe201408.html
Jul-14,1100,http://www.nuforc.org/webreports/ndxe201407.html
Jun-14,780,http://www.nuforc.org/webreports/ndxe201406.html
May-14,655,http://www.nuforc.org/webreports/ndxe201405.html
Apr-14,667,http://www.nuforc.org/webreports/ndxe201404.html
Mar-14,517,http://www.nuforc.org/webreports/ndxe201403.html
Feb-14,555,http://www.nuforc.org/webreports/ndxe201402.html
Jan-14,717,http://www.nuforc.org/webreports/ndxe201401.html
Dec-13,769,http://www.nuforc.org/webreports/ndxe201312.html
Nov-13,807,http://www.nuforc.org/webreports/ndxe201311.html
Oct-13,796,http://www.nuforc.org/webreports/ndxe201310.html
Sep-13,793,http://www.nuforc.org/webreports/ndxe201309.html
Aug-13,922,http://www.nuforc.org/webreports/ndxe201308.html
Jul-13,979,http://www.nuforc.org/webreports/ndxe201307.html
Jun-13,639,http://www.nuforc.org/webreports/ndxe201306.html
May-13,537,http://www.nuforc.org/webreports/ndxe201305.html
Apr-13,430,http://www.nuforc.org/webreports/ndxe201304.html
Mar-13,400,http://www.nuforc.org/webreports/ndxe201303.html
Feb-13,284,http://www.nuforc.org/webreports/ndxe201302.html
Jan-13,399,http://www.nuforc.org/webreports/ndxe201301.html
Dec-12,674,http://www.nuforc.org/webreports/ndxe201212.html
Nov-12,782,http://www.nuforc.org/webreports/ndxe201211.html
Oct-12,677,http://www.nuforc.org/webreports/ndxe201210.html
Sep-12,775,http://www.nuforc.org/webreports/ndxe201209.html
Aug-12,906,http://www.nuforc.org/webreports/ndxe201208.html
Jul-12,937,http://www.nuforc.org/webreports/ndxe201207.html
Jun-12,764,http://www.nuforc.org/webreports/ndxe201206.html
May-12,521,http://www.nuforc.org/webreports/ndxe201205.html
Apr-12,500,http://www.nuforc.org/webreports/ndxe201204.html
Mar-12,537,http://www.nuforc.org/webreports/ndxe201203.html
Feb-12,397,http://www.nuforc.org/webreports/ndxe201202.html
Jan-12,586,http://www.nuforc.org/webreports/ndxe201201.html
Dec-11,537,http://www.nuforc.org/webreports/ndxe201112.html
Nov-11,447,http://www.nuforc.org/webreports/ndxe201111.html
Oct-11,644,http://www.nuforc.org/webreports/ndxe201110.html
Sep-11,559,http://www.nuforc.org/webreports/ndxe201109.html
Aug-11,646,http://www.nuforc.org/webreports/ndxe201108.html
Jul-11,767,http://www.nuforc.org/webreports/ndxe201107.html
Jun-11,405,http://www.nuforc.org/webreports/ndxe201106.html
May-11,321,http://www.nuforc.org/webreports/ndxe201105.html
Apr-11,318,http://www.nuforc.org/webreports/ndxe201104.html
Mar-11,334,http://www.nuforc.org/webreports/ndxe201103.html
Feb-11,276,http://www.nuforc.org/webreports/ndxe201102.html
Jan-11,330,http://www.nuforc.org/webreports/ndxe201101.html
Dec-10,307,http://www.nuforc.org/webreports/ndxe201012.html
Nov-10,366,http://www.nuforc.org/webreports/ndxe201011.html
Oct-10,477,http://www.nuforc.org/webreports/ndxe201010.html
Sep-10,453,http://www.nuforc.org/webreports/ndxe201009.html
Aug-10,532,http://www.nuforc.org/webreports/ndxe201008.html
Jul-10,849,http://www.nuforc.org/webreports/ndxe201007.html
Jun-10,388,http://www.nuforc.org/webreports/ndxe201006.html
May-10,333,http://www.nuforc.org/webreports/ndxe201005.html
Apr-10,296,http://www.nuforc.org/webreports/ndxe201004.html
Mar-10,262,http://www.nuforc.org/webreports/ndxe201003.html
Feb-10,190,http://www.nuforc.org/webreports/ndxe201002.html
Jan-10,294,http://www.nuforc.org/webreports/ndxe201001.html
Dec-09,293,http://www.nuforc.org/webreports/ndxe200912.html
Nov-09,324,http://www.nuforc.org/webreports/ndxe200911.html
Oct-09,323,http://www.nuforc.org/webreports/ndxe200910.html
Sep-09,600,http://www.nuforc.org/webreports/ndxe200909.html
Aug-09,503,http://www.nuforc.org/webreports/ndxe200908.html
