date,ufo
16-Sep,140
16-Aug,512
16-Jul,660
16-Jun,413
16-May,373
16-Apr,380
16-Mar,404
16-Feb,423
16-Jan,410
15-Dec,433
15-Nov,900
15-Oct,648
15-Sep,724
15-Aug,620
15-Jul,732
15-Jun,480
15-May,463
15-Apr,450
15-Mar,479
15-Feb,341
15-Jan,539
14-Dec,525
14-Nov,547
14-Oct,791
14-Sep,830
14-Aug,925
14-Jul,1100
14-Jun,780
14-May,655
14-Apr,667
14-Mar,517
14-Feb,555
14-Jan,717
13-Dec,769
13-Nov,807
13-Oct,796
13-Sep,793
13-Aug,922
13-Jul,979
13-Jun,639
13-May,537
13-Apr,430
13-Mar,400
13-Feb,284
13-Jan,399
12-Dec,674
12-Nov,782
12-Oct,677
12-Sep,775
12-Aug,906
12-Jul,937
12-Jun,764
12-May,521
12-Apr,500
12-Mar,537
12-Feb,397
12-Jan,586
11-Dec,537
11-Nov,447
11-Oct,644
11-Sep,559
11-Aug,646
11-Jul,767
11-Jun,405
11-May,321
11-Apr,318
11-Mar,334
11-Feb,276
11-Jan,330
10-Dec,307
10-Nov,366
10-Oct,477
10-Sep,453
10-Aug,532
10-Jul,849
10-Jun,388
10-May,333
10-Apr,296
10-Mar,262
10-Feb,190
10-Jan,294
9-Dec,293
9-Nov,324
9-Oct,323
9-Sep,600
9-Aug,503
9-Jul,616
9-Jun,391
9-May,360
9-Apr,318
9-Mar,341
9-Feb,397
9-Jan,499
8-Dec,350
8-Nov,459
8-Oct,536
8-Sep,385
8-Aug,506
8-Jul,577
8-Jun,484
8-May,347
8-Apr,444
8-Mar,341
8-Feb,372
8-Jan,475
7-Dec,362
7-Nov,375
7-Oct,449
7-Sep,451
7-Aug,472
7-Jul,466
7-Jun,428
7-May,317
7-Apr,323
7-Mar,363
7-Feb,267
7-Jan,441
6-Dec,387
6-Nov,413
6-Oct,402
6-Sep,327
6-Aug,429
6-Jul,430
6-Jun,341
6-May,302
6-Apr,322
6-Mar,306
6-Feb,233
6-Jan,253
5-Dec,277
5-Nov,466
5-Oct,487
5-Sep,532
5-Aug,355
5-Jul,456
5-Jun,410
5-May,302
5-Apr,317
5-Mar,358
5-Feb,278
5-Jan,260
4-Dec,306
4-Nov,331
4-Oct,453
4-Sep,412
4-Aug,551
4-Jul,438
4-Jun,431
4-May,390
4-Apr,393
4-Mar,416
4-Feb,301
4-Jan,305
3-Dec,383
3-Nov,472
3-Oct,474
3-Sep,509
3-Aug,545
3-Jul,452
3-Jun,309
3-May,252
3-Apr,225
3-Mar,191
3-Feb,267
3-Jan,327
2-Dec,250
2-Nov,294
2-Oct,338
2-Sep,376
2-Aug,488
2-Jul,434
2-Jun,348
2-May,251
2-Apr,191
2-Mar,197
2-Feb,260
2-Jan,238
1-Dec,213
1-Nov,280
1-Oct,257
1-Sep,350
1-Aug,396
1-Jul,409
1-Jun,314
1-May,255
1-Apr,234
1-Mar,291
1-Feb,233
1-Jan,282
