date,ufo,link
Aug-2016,512,http://www.nuforc.org/webreports/ndxe201608.html
Jul-2016,660,http://www.nuforc.org/webreports/ndxe201607.html
Jun-2016,413,http://www.nuforc.org/webreports/ndxe201606.html
May-2016,373,http://www.nuforc.org/webreports/ndxe201605.html
Apr-2016,380,http://www.nuforc.org/webreports/ndxe201604.html
Mar-2016,404,http://www.nuforc.org/webreports/ndxe201603.html
Feb-2016,423,http://www.nuforc.org/webreports/ndxe201602.html
Jan-2016,410,http://www.nuforc.org/webreports/ndxe201601.html
Dec-2015,433,http://www.nuforc.org/webreports/ndxe201512.html
Nov-2015,900,http://www.nuforc.org/webreports/ndxe201511.html
Oct-2015,648,http://www.nuforc.org/webreports/ndxe201510.html
Sep-2015,724,http://www.nuforc.org/webreports/ndxe201509.html
Aug-2015,620,http://www.nuforc.org/webreports/ndxe201508.html
Jul-2015,732,http://www.nuforc.org/webreports/ndxe201507.html
Jun-2015,480,http://www.nuforc.org/webreports/ndxe201506.html
May-2015,463,http://www.nuforc.org/webreports/ndxe201505.html
Apr-2015,450,http://www.nuforc.org/webreports/ndxe201504.html
Mar-2015,479,http://www.nuforc.org/webreports/ndxe201503.html
Feb-2015,341,http://www.nuforc.org/webreports/ndxe201502.html
Jan-2015,539,http://www.nuforc.org/webreports/ndxe201501.html
Dec-2014,525,http://www.nuforc.org/webreports/ndxe201412.html
Nov-2014,547,http://www.nuforc.org/webreports/ndxe201411.html
Oct-2014,791,http://www.nuforc.org/webreports/ndxe201410.html
Sep-2014,830,http://www.nuforc.org/webreports/ndxe201409.html
Aug-2014,925,http://www.nuforc.org/webreports/ndxe201408.html
Jul-2014,1100,http://www.nuforc.org/webreports/ndxe201407.html
Jun-2014,780,http://www.nuforc.org/webreports/ndxe201406.html
May-2014,655,http://www.nuforc.org/webreports/ndxe201405.html
Apr-2014,667,http://www.nuforc.org/webreports/ndxe201404.html
Mar-2014,517,http://www.nuforc.org/webreports/ndxe201403.html
Feb-2014,555,http://www.nuforc.org/webreports/ndxe201402.html
Jan-2014,717,http://www.nuforc.org/webreports/ndxe201401.html
Dec-2013,769,http://www.nuforc.org/webreports/ndxe201312.html
Nov-2013,807,http://www.nuforc.org/webreports/ndxe201311.html
Oct-2013,796,http://www.nuforc.org/webreports/ndxe201310.html
Sep-2013,793,http://www.nuforc.org/webreports/ndxe201309.html
Aug-2013,922,http://www.nuforc.org/webreports/ndxe201308.html
Jul-2013,979,http://www.nuforc.org/webreports/ndxe201307.html
Jun-2013,639,http://www.nuforc.org/webreports/ndxe201306.html
May-2013,537,http://www.nuforc.org/webreports/ndxe201305.html
Apr-2013,430,http://www.nuforc.org/webreports/ndxe201304.html
Mar-2013,400,http://www.nuforc.org/webreports/ndxe201303.html
Feb-2013,284,http://www.nuforc.org/webreports/ndxe201302.html
Jan-2013,399,http://www.nuforc.org/webreports/ndxe201301.html
Dec-2012,674,http://www.nuforc.org/webreports/ndxe201212.html
Nov-2012,782,http://www.nuforc.org/webreports/ndxe201211.html
Oct-2012,677,http://www.nuforc.org/webreports/ndxe201210.html
Sep-2012,775,http://www.nuforc.org/webreports/ndxe201209.html
Aug-2012,906,http://www.nuforc.org/webreports/ndxe201208.html
Jul-2012,937,http://www.nuforc.org/webreports/ndxe201207.html
Jun-2012,764,http://www.nuforc.org/webreports/ndxe201206.html
May-2012,521,http://www.nuforc.org/webreports/ndxe201205.html
Apr-2012,500,http://www.nuforc.org/webreports/ndxe201204.html
Mar-2012,537,http://www.nuforc.org/webreports/ndxe201203.html
Feb-2012,397,http://www.nuforc.org/webreports/ndxe201202.html
Jan-2012,586,http://www.nuforc.org/webreports/ndxe201201.html
Dec-2011,537,http://www.nuforc.org/webreports/ndxe201112.html
Nov-2011,447,http://www.nuforc.org/webreports/ndxe201111.html
Oct-2011,644,http://www.nuforc.org/webreports/ndxe201110.html
Sep-2011,559,http://www.nuforc.org/webreports/ndxe201109.html
Aug-2011,646,http://www.nuforc.org/webreports/ndxe201108.html
Jul-2011,767,http://www.nuforc.org/webreports/ndxe201107.html
Jun-2011,405,http://www.nuforc.org/webreports/ndxe201106.html
May-2011,321,http://www.nuforc.org/webreports/ndxe201105.html
Apr-2011,318,http://www.nuforc.org/webreports/ndxe201104.html
Mar-2011,334,http://www.nuforc.org/webreports/ndxe201103.html
Feb-2011,276,http://www.nuforc.org/webreports/ndxe201102.html
Jan-2011,330,http://www.nuforc.org/webreports/ndxe201101.html
Dec-2010,307,http://www.nuforc.org/webreports/ndxe201012.html
Nov-2010,366,http://www.nuforc.org/webreports/ndxe201011.html
Oct-2010,477,http://www.nuforc.org/webreports/ndxe201010.html
Sep-2010,453,http://www.nuforc.org/webreports/ndxe201009.html
